id	categoria	tipo	precio
1	Mujer	Pantalón	99.90
5	Niños	Pantalón	59.95
6	Niños	Pantalón	99.95
7	Mujer	Casaca	299.90
8	Mujer	Casaca	199.90
9	Mujer	Casaca	134.50
10	Mujer	Chompa	139.90
11	Mujer	Chompa	55.00
12	Mujer	Chompa	119.90
13	Mujer	Falda	129.90
14	Mujer	Falda	149.90
15	Mujer	Falda	105.00
17	Mujer	Polera	159.90
18	Mujer	Polera	139.90
19	Mujer	Polera	239.90
20	Mujer	Polo	89.90
21	Mujer	Polo	59.90
22	Mujer	Polo	89.90
23	Mujer	Polo	99.90
24	Mujer	Short	75.00
25	Mujer	Short	119.90
26	Mujer	Short	139.90
27	Mujer	Short	139.90
28	Mujer	Vestido	159.90
29	Mujer	Vestido	169.90
30	Mujer	Vestido	179.90
31	Mujer	Vestido	159.90
32	Mujer	Vestido	109.90
33	Mujer	Vestido	149.90
34	Varon	Pantalón	249.00
38	Varon	Polo	74.00
39	Varon	Polo	149.00
41	Varon	Polo	69.00
42	Varon	Polo	69.00
44	Varon	Polo	49.00
45	Varon	Casaca	125.94
46	Varon	Casaca	194.50
47	Varon	Casaca	109.95
48	Varon	Casaca	129.50
49	Varon	Casaca	94.95
50	Varon	Chompa	53.94
51	Varon	Chompa	53.94
52	Varon	Chompa	59.94
53	Varon	Chompa	49.95
54	Varon	Chompa	39.96
55	Varon	Chompa	49.95
56	Varon	Polera	71.94
57	Varon	Polera	71.94
58	Varon	Polera	59.94
59	Varon	Polera	59.94
60	Varon	Polera	71.94
61	Varon	Short	54.95
62	Varon	Short	71.45
63	Varon	Short	54.95
64	Varon	Short	77.94
65	Varon	Short	65.95
66	Niños	Casaca	49.95
67	Niños	Casaca	55.96
68	Niños	Casaca	56.96
69	Niños	Casaca	59.96
70	Niños	Casaca	67.96
71	Niños	Casaca	51.96
72	Niños	Casaca	47.96
73	Niños	Casaca	63.96
74	Niños	Casaca	55.96
75	Niños	Chompa	39.95
76	Niños	Chompa	31.96
77	Niños	Chompa	27.96
78	Niños	Chompa	27.96
79	Niños	Chompa	27.96
80	Niños	Chompa	27.96
81	Niños	Chompa	27.96
82	Niños	Chompa	27.96
83	Niños	Falda	32.95
84	Niños	Falda	34.95
85	Niños	Falda	34.95
86	Niños	Falda	39.95
87	Niños	Falda	39.95
88	Niños	Falda	27.96
89	Niños	Falda	34.95
90	Niños	Falda	47.94
91	Niños	Falda	41.94
92	Niños	Pantalón	43.95
93	Niños	Pantalón	47.95
94	Niños	Pantalón	44.95
95	Niños	Pantalón	34.95
96	Niños	Pantalón	34.95
97	Niños	Pantalón	49.95
98	Niños	Pantalón	49.45
99	Niños	Pantalón	59.94
100	Niños	Pantalón	41.94
101	Niños	Pantalón	44.95
102	Niños	Pantalón	41.94
103	Niños	Pantalón	59.94
104	Niños	Polera	39.95
105	Niños	Polera	34.95
106	Niños	Polera	36.96
107	Niños	Polera	27.96
108	Niños	Polera	36.96
109	Niños	Polera	39.95
110	Niños	Polera	44.95
111	Niños	Polera	39.95
112	Niños	Polera	39.95
113	Niños	Polera	27.96
114	Niños	Polo	38.45
115	Niños	Polo	32.95
116	Niños	Polo	27.45
117	Niños	Polo	29.95
118	Niños	Polo	19.95
119	Niños	Polo	19.95
120	Niños	Polo	27.45
121	Niños	Polo	27.45
122	Niños	Polo	27.45
123	Niños	Polo	19.95
124	Niños	Polo	19.95
125	Niños	Short	38.45
126	Niños	Short	41.94
127	Niños	Short	41.94
128	Niños	Short	39.95
129	Niños	Short	39.95
130	Niños	Short	39.94
131	Niños	Short	38.45
132	Niños	Short	47.94
133	Niños	Short	34.95
134	Niños	Short	29.95
135	Niños	Short	29.95
136	Niños	Short	32.95
137	Niños	Vestido	53.94
138	Niños	Vestido	41.94
139	Niños	Vestido	36.95
140	Niños	Vestido	35.95
141	Niños	Vestido	36.94
142	Niños	Vestido	43.93
143	Niños	Vestido	39.96
144	Niños	Vestido	39.94
145	Niños	Vestido	34.96
146	Niños	Vestido	39.95
147	Mujer	Pantalón	51.96
148	Mujer	Pantalón	101.94
149	Mujer	Falda	95.94
150	Mujer	Falda	69.95
151	Mujer	Falda	64.95
152	Mujer	Short	83.94
153	Bebé		39.95
154	Bebé		79.95
155	Bebé		69.95
156	Bebé		79.95
157	Bebé		79.95
158	Bebé		62.04
159	Bebé		41.31
160	Bebé		49.90
162	Bebé		45.98
163	Niños	Polo	250.90
